,id,name,ruby,bust,cup,waist,hip,height,birthday,blood_type,hobby,prefectures,imageURL.small,imageURL.large,listURL.digital,listURL.monthly,listURL.mono,listURL.rental
0,3,北川ゆい,きたがわゆい,95,G,60,88,,1980-12-14,AB,クラシックバレエ,,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/kitagawa_yui.jpg,http://pics.dmm.co.jp/mono/actjpgs/kitagawa_yui.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D3%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D3%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D3%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D3%2F&af_id=souhub-990&ch=api
1,4,Akira,あきら,90,,58,86,157,1978-08-15,A,水泳、ゴルフ,東京都,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/akira.jpg,http://pics.dmm.co.jp/mono/actjpgs/akira.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D4%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D4%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D4%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D4%2F&af_id=souhub-990&ch=api
2,5,BETTYマリコ,べてぃーまりこ,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D5%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D5%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D5%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D5%2F&af_id=souhub-990&ch=api
3,6,COCOLO,こころ,96,H,55,85,168,1982-07-07,B,パソコン,茨城県,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/cocolo.jpg,http://pics.dmm.co.jp/mono/actjpgs/cocolo.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D6%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D6%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D6%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D6%2F&af_id=souhub-990&ch=api
4,8,Saiko,さいこ,80,B,59,82,162,1983-04-12,O,料理、大食い,東京都,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/saiko.jpg,http://pics.dmm.co.jp/mono/actjpgs/saiko.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D8%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D8%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D8%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D8%2F&af_id=souhub-990&ch=api
5,9,SHOKO,しょうこ,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D9%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D9%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D9%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D9%2F&af_id=souhub-990&ch=api
6,10,あいかわまこ,あいかわまこ,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D10%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D10%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D10%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D10%2F&af_id=souhub-990&ch=api
7,11,あいだもも,あいだもも,82,,55,89,162,1970-06-18,A,エアロビクス,東京都,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/aida_momo.jpg,http://pics.dmm.co.jp/mono/actjpgs/aida_momo.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D11%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D11%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D11%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D11%2F&af_id=souhub-990&ch=api
8,12,アヴァ ヴィンセント,あう゛ぁ う゛ぃんせんと,94,,67,93,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D12%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D12%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D12%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D12%2F&af_id=souhub-990&ch=api
9,13,あさのくるみ,あさのくるみ,94,G,,,,,,,,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/asano_kurumi.jpg,http://pics.dmm.co.jp/mono/actjpgs/asano_kurumi.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D13%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D13%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D13%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D13%2F&af_id=souhub-990&ch=api
